system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
sqlite,2,False,,2 GB,2,1.40252,1.27372,1.1826,8.16061,7.99462,7.72261,4.079,2.82772,2.97289,2.95025,4.19509,2.9029,2.7242
sqlite,2,False,,2 GB,3,1.39068,1.28418,1.19947,8.27491,8.04285,7.78611,4.08568,2.81241,2.95193,2.96662,4.25898,2.8848,2.73994
sqlite,2,False,,5 GB,1,1.41758,1.28991,1.19248,8.14052,7.97019,7.68308,4.0886,2.81248,2.94613,2.94129,4.22611,2.89723,2.72707
sqlite,2,False,,5 GB,2,1.39561,1.26577,1.17849,8.21404,8.02859,7.77605,4.10367,2.827,2.97181,2.96036,4.23464,2.89915,2.7534
sqlite,2,False,,5 GB,3,1.39222,1.25825,1.16846,8.14728,7.95169,7.66409,4.11959,2.81833,2.94599,2.93724,4.22587,2.90275,2.74354
sqlite,2,True,,100 MB,1,1.63597,1.33386,1.29605,1.53238,1.31687,1.21626,2.38937,1.2811,1.18948,1.18353,2.0741,1.97481,1.63843
sqlite,2,True,,100 MB,2,1.66236,1.33577,1.29688,1.52892,1.32032,1.39926,2.44337,1.35767,1.2444,1.23771,2.14014,2.04683,1.71142
sqlite,2,True,,100 MB,3,1.6333,1.35657,1.30666,1.54415,1.31598,1.23099,2.38669,1.27643,1.19039,1.1837,2.08521,1.9726,1.65538
sqlite,2,True,,200 MB,1,1.63529,1.33261,1.32112,1.50824,1.30724,1.20678,2.37734,1.26493,1.18012,1.17398,2.05589,1.93577,1.63105
sqlite,2,True,,200 MB,2,1.6285,1.33063,1.29331,1.50672,1.29982,1.20362,2.36299,1.26389,1.17932,1.17405,2.11073,1.9333,1.6316
sqlite,2,True,,200 MB,3,1.67187,1.38529,1.34331,1.54054,1.30763,1.23552,2.37364,1.26702,1.18368,1.17971,2.05656,1.9358,1.62978
sqlite,2,True,,500 MB,1,1.64824,1.36047,1.31773,1.52321,1.31893,1.22665,2.37741,1.29176,1.20511,1.19007,2.05461,1.96672,1.64495
sqlite,2,True,,500 MB,2,1.65231,1.36076,1.32178,1.53544,1.3295,1.22398,2.38977,1.28692,1.19869,1.19156,2.07194,1.96415,1.6452
sqlite,2,True,,500 MB,3,1.66435,1.36776,1.3192,1.53411,1.3296,1.22589,2.40322,1.2864,1.19732,1.19159,2.06971,1.96764,1.65053
sqlite,2,True,,1 GB,1,1.4295,1.14089,1.14173,1.30385,1.10115,0.99895,2.1384,1.04954,0.985786,0.970544,1.77946,1.68087,1.4018
sqlite,2,True,,1 GB,2,1.44085,1.13965,1.10174,1.28469,1.10477,1.01201,2.11689,1.0584,0.97271,0.962741,1.7836,1.67209,1.3976
sqlite,2,True,,1 GB,3,1.44586,1.14612,1.10346,1.28709,1.09473,1.01218,2.12165,1.05989,0.978099,0.977727,1.77845,1.66914,1.37692
sqlite,2,True,,2 GB,1,1.4315,1.13816,1.10133,1.26428,1.0786,1.01836,2.08152,1.05333,0.982515,0.971269,1.75696,1.65477,1.40398
sqlite,2,True,,2 GB,2,1.44278,1.14612,1.10765,1.26822,1.09374,1.00927,2.08434,1.04188,0.971003,0.959932,1.75009,1.65479,1.39611
sqlite,2,True,,2 GB,3,1.41694,1.12535,1.11,1.26427,1.09576,1.01486,2.08616,1.03708,0.989032,0.971647,1.76015,1.65161,1.38582
sqlite,2,True,,5 GB,1,1.43096,1.13538,1.09587,1.26438,1.09056,1.00552,2.0875,1.03557,0.968238,0.95794,1.75223,1.65819,1.39849
sqlite,2,True,,5 GB,2,1.42817,1.15407,1.10788,1.26557,1.08857,1.00937,2.07507,1.05547,0.979181,0.974303,1.74974,1.64717,1.38274
sqlite,2,True,,5 GB,3,1.44162,1.13949,1.09873,1.26781,1.08538,1.01734,2.08773,1.05352,0.97132,0.960235,1.74821,1.65437,1.39036
sqlite,5,False,,100 MB,1,4.12244,3.73189,3.50888,18.8205,18.6452,18.3316,13.1467,9.14016,9.30556,9.30373,13.607,10.0351,8.64935
sqlite,5,False,,100 MB,2,4.02407,3.71452,3.49351,18.6588,18.4493,18.2323,12.8804,9.024,9.32138,9.15448,13.4199,9.97239,8.65145
sqlite,5,False,,100 MB,3,4.0309,3.70811,3.4821,18.7244,18.5162,18.3255,12.999,9.12815,9.42378,9.25777,13.4801,9.97216,8.57487
sqlite,5,False,,200 MB,1,4.04502,3.71299,3.48512,18.8391,18.6524,18.5109,13.0015,9.12169,9.29118,9.20248,13.4939,9.85513,8.57673
sqlite,5,False,,200 MB,2,4.02482,3.69842,3.47601,18.7215,18.5228,18.3372,12.8548,9.01656,9.44294,9.4023,13.6661,10.0151,8.75294
sqlite,5,False,,200 MB,3,4.04228,3.71363,3.48248,18.8127,18.6483,18.4549,12.9339,9.03552,9.26311,9.1798,13.4702,9.84762,8.58705
sqlite,5,False,,500 MB,1,4.0766,3.78226,3.55432,18.9753,18.8925,18.6885,12.9592,9.12937,9.34995,9.25828,13.6297,9.87765,8.55595
sqlite,5,False,,500 MB,2,4.07062,3.74528,3.56232,18.9286,18.8538,18.626,12.973,9.25224,9.37461,9.26719,13.6567,9.84883,8.546
sqlite,5,False,,500 MB,3,4.09679,3.7787,3.55263,18.9159,18.8537,18.6511,12.9502,9.15178,9.36825,9.27928,13.6528,9.83754,8.53715
sqlite,5,False,,1 GB,1,4.11003,3.74723,3.52372,18.7364,18.7356,18.5444,12.84,9.05928,9.28393,9.18492,13.5554,9.81854,8.46804
sqlite,5,False,,1 GB,2,4.10031,3.75391,3.53226,18.7284,18.7041,18.4761,12.8419,9.05256,9.27582,9.18216,13.5609,9.82244,8.4826
sqlite,5,False,,1 GB,3,4.12859,3.80249,3.56828,18.8807,18.784,18.6214,12.8583,9.06422,9.30035,9.20717,13.6066,9.90355,8.52507
