system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
duckdb,1,,4,200 MB,2,0.103223,0.107897,0.0989758,0.156654,0.146447,0.127315,0.163544,0.10024,0.081441,0.0825783,0.277088,0.292098,0.172534
duckdb,1,,4,200 MB,3,0.103486,0.105534,0.10101,0.166947,0.144705,0.120447,0.158043,0.0927385,0.0777025,0.0750421,0.262455,0.281432,0.168622
duckdb,1,,4,500 MB,1,0.0829288,0.0847619,0.0789653,0.122669,0.10144,0.0906064,0.127421,0.0668029,0.0560514,0.055912,0.20827,0.218067,0.110747
duckdb,1,,4,500 MB,2,0.082386,0.0836474,0.0777822,0.122287,0.101572,0.0903773,0.126639,0.0670204,0.0563475,0.0555989,0.22265,0.231177,0.116629
duckdb,1,,4,500 MB,3,0.084096,0.0867199,0.0808984,0.12775,0.105702,0.0941147,0.131335,0.0688499,0.0585014,0.0563384,0.21757,0.223644,0.117223
duckdb,1,,4,1 GB,1,0.0968614,0.0854484,0.0805961,0.125632,0.103902,0.0916667,0.131406,0.0687878,0.0584785,0.0566529,0.216217,0.223496,0.113985
duckdb,1,,4,1 GB,2,0.0842682,0.0865094,0.0801398,0.126012,0.104198,0.0934685,0.131694,0.0681266,0.0581762,0.0568463,0.217112,0.228365,0.117185
duckdb,1,,4,1 GB,3,0.0832259,0.0848651,0.0785184,0.121992,0.102104,0.0912071,0.126638,0.0666671,0.0566593,0.0549421,0.217254,0.223146,0.112004
duckdb,1,,4,2 GB,1,0.081674,0.0830173,0.077554,0.12161,0.101312,0.0902447,0.126875,0.0660474,0.0567968,0.0554531,0.209885,0.217457,0.113455
duckdb,1,,4,2 GB,2,0.0842974,0.0865116,0.0795592,0.125749,0.112053,0.0926225,0.130517,0.0679879,0.0574163,0.0567893,0.237489,0.225156,0.118774
duckdb,1,,4,2 GB,3,0.0837797,0.085515,0.0802689,0.136309,0.103127,0.0921175,0.128854,0.0698211,0.0581713,0.056338,0.210857,0.226224,0.118158
duckdb,1,,4,5 GB,1,0.0839394,0.086041,0.0804559,0.126665,0.104268,0.0918994,0.131134,0.0692418,0.0574791,0.0569318,0.217391,0.222131,0.116556
duckdb,1,,4,5 GB,2,0.0818639,0.0842476,0.0786785,0.121421,0.100494,0.0888544,0.127648,0.0667488,0.0568127,0.0549723,0.207791,0.217326,0.111303
duckdb,1,,4,5 GB,3,0.0831828,0.085178,0.0794872,0.123637,0.10149,0.0910538,0.127765,0.0671318,0.0569647,0.0556399,0.211781,0.225012,0.114495
